"store_type","product_category","country","years","months","actual_value","pct_overstock","prev_overstock","change_overstock","pct_slow_movers","prev_slow_movers","change_slow_movers","classification","ranking"
"Store","Music, Movies and Audio Books","Pakistan","Year 2008","August","11971.84","71.00","76.00","-5.00","20.00","7.00","13.00","WORST","1"
"Online","Audio","China","Year 2009","April","28471.30","91.00","78.00","13.00","13.00","10.00","3.00","WORST","2"
"Reseller","Cameras and camcorders ","France","Year 2007","June","21260.95","78.00","71.00","7.00","7.00","0.00","7.00","WORST","1"
"Reseller","Audio","France","Year 2007","June","24532.52","75.00","72.00","3.00","9.00","0.00","9.00","WORST","2"
"Reseller","Music, Movies and Audio Books","France","Year 2007","June","11692.92","73.00","76.00","-3.00","19.00","12.00","7.00","WORST","3"
"Store","Audio","Syria","Year 2007","October","4592.26","66.00","62.00","4.00","33.00","18.00","15.00","WORST","1"
"Store","Audio","Australia","Year 2009","September","28112.21","57.00","48.00","9.00","19.00","12.00","7.00","WORST","3"
"Store","Cameras and camcorders ","Armenia","Year 2008","June","4391.37","80.00","25.00","55.00","60.00","100.00","-40.00","WORST","2"
"Reseller","Cameras and camcorders ","France","Year 2007","March","26754.05","89.00","75.00","14.00","5.00","25.00","-20.00","WORST","1"
"Store","Audio","Pakistan","Year 2008","January","3688.24","63.00","92.00","-29.00","27.00","15.00","12.00","WORST","1"
"Store","Music, Movies and Audio Books","Italy    ","Year 2007","July","4980.52","58.00","38.00","20.00","19.00","29.00","-10.00","WORST","1"
"Reseller","Audio","China","Year 2009","April","15190.34","80.00","75.00","5.00","15.00","10.00","5.00","WORST","5"
"Store","Audio","Pakistan","Year 2008","July","5902.92","80.00","74.00","6.00","53.00","16.00","37.00","WORST","1"
"Reseller","Music, Movies and Audio Books","France","Year 2007","March","7081.63","75.00","76.00","-1.00","13.00","7.00","6.00","WORST","3"
"Store","Music, Movies and Audio Books","Singapore","Year 2009","September","5053.39","100.00","46.00","54.00","21.00","17.00","4.00","WORST","1"
"Store","Audio","Singapore","Year 2009","September","8455.19","77.00","86.00","-9.00","16.00","33.00","-17.00","WORST","2"
"Reseller","Cameras and camcorders ","China","Year 2009","August","14502.28","88.00","68.00","20.00","11.00","6.00","5.00","WORST","1"
"Online","Music, Movies and Audio Books","China","Year 2009","August","41669.50","81.00","73.00","8.00","15.00","8.00","7.00","WORST","2"
"Store","Audio","Pakistan","Year 2008","June","13975.60","74.00","91.00","-17.00","16.00","45.00","-29.00","WORST","2"
"Store","Music, Movies and Audio Books","Greece ","Year 2009","May","6928.40","66.00","100.00","-34.00","16.00","0.00","16.00","WORST","2"
"Store","Cameras and camcorders ","Slovenia","Year 2007","August","9697.05","100.00","100.00","0.00","10.00","0.00","10.00","WORST","1"
"Store","Music, Movies and Audio Books","Slovenia","Year 2007","August","2397.89","61.00","91.00","-30.00","46.00","25.00","21.00","WORST","2"
"Store","Audio","Pakistan","Year 2008","March","8621.72","76.00","50.00","26.00","20.00","8.00","12.00","WORST","1"
"Reseller","Music, Movies and Audio Books","France","Year 2007","May","6500.70","76.00","85.00","-9.00","12.00","14.00","-2.00","WORST","1"
"Store","Cameras and camcorders ","Pakistan","Year 2008","March","7967.85","64.00","50.00","14.00","14.00","25.00","-11.00","WORST","3"
"Store","Music, Movies and Audio Books","Pakistan","Year 2008","May","3941.30","96.00","82.00","14.00","24.00","11.00","13.00","WORST","1"
"Store","Audio","Pakistan","Year 2008","May","15050.22","91.00","77.00","14.00","45.00","35.00","10.00","WORST","2"
"Store","Audio","Slovenia","Year 2007","February","13107.16","55.00","50.00","5.00","20.00","25.00","-5.00","WORST","2"
"Store","Audio","Italy    ","Year 2007","March","29245.72","57.00","53.00","4.00","16.00","12.00","4.00","WORST","2"
"Store","Music, Movies and Audio Books","Bhutan","Year 2009","June","7522.96","90.00","30.00","60.00","18.00","7.00","11.00","WORST","2"
"Store","Audio","Pakistan","Year 2008","November","19163.14","73.00","50.00","23.00","15.00","10.00","5.00","WORST","2"
"Store","Audio","Thailand","Year 2008","August","6452.18","100.00","80.00","20.00","30.00","6.00","24.00","WORST","1"
"Store","Audio","China","Year 2009","August","33902.63","76.00","67.00","9.00","12.00","6.00","6.00","WORST","4"
"Store","Music, Movies and Audio Books","Slovenia","Year 2007","July","2727.53","91.00","59.00","32.00","25.00","13.00","12.00","WORST","2"
"Store","Audio","Slovenia","Year 2007","July","4174.12","61.00","40.00","21.00","22.00","20.00","2.00","WORST","3"
"Store","Cameras and camcorders ","Pakistan","Year 2008","October","14041.65","61.00","68.00","-7.00","38.00","12.00","26.00","WORST","2"
"Store","Music, Movies and Audio Books","Slovenia","Year 2007","June","3232.56","59.00","47.00","12.00","13.00","23.00","-10.00","WORST","2"
"Online","Cameras and camcorders ","United States","Year 2008","April","28855.23","92.00","88.00","4.00","7.00","0.00","7.00","WORST","2"
"Store","Cameras and camcorders ","Italy    ","Year 2007","November","14447.45","60.00","89.00","-29.00","20.00","21.00","-1.00","WORST","1"
"Store","Cameras and camcorders ","Pakistan","Year 2008","September","11989.56","68.00","61.00","7.00","12.00","0.00","12.00","WORST","2"
"Online","Cameras and camcorders ","Germany","Year 2009","December","63945.90","92.00","85.00","7.00","4.00","0.00","4.00","WORST","2"
"Store","Music, Movies and Audio Books","Pakistan","Year 2009","April","3019.58","87.00","30.00","57.00","12.00","0.00","12.00","WORST","1"
"Store","Cameras and camcorders ","Pakistan","Year 2009","April","8595.94","72.00","100.00","-28.00","54.00","66.00","-12.00","WORST","2"
"Store","Cameras and camcorders ","South Korea","Year 2008","April","1431.54","100.00","0.00","100.00","50.00","0.00","50.00","WORST","1"
"Online","Audio","Germany","Year 2009","December","58940.70","86.00","84.00","2.00","5.00","7.00","-2.00","WORST","3"
"Store","Cameras and camcorders ","Italy    ","Year 2007","October","15733.70","89.00","52.00","37.00","21.00","10.00","11.00","WORST","1"
"Store","Cameras and camcorders ","Pakistan","Year 2009","August","12523.01","69.00","83.00","-14.00","30.00","16.00","14.00","WORST","2"
"Online","Music, Movies and Audio Books","Germany","Year 2009","December","57493.19","86.00","93.00","-7.00","9.00","2.00","7.00","WORST","4"
"Store","Cameras and camcorders ","Australia","Year 2007","August","17248.25","75.00","50.00","25.00","25.00","5.00","20.00","WORST","1"
"Reseller","Cameras and camcorders ","France","Year 2007","November","21489.25","68.00","53.00","15.00","6.00","6.00","0.00","WORST","1"
"Store","Cameras and camcorders ","Slovenia","Year 2007","September","2482.65","100.00","100.00","0.00","100.00","10.00","90.00","WORST","1"
"Online","Cameras and camcorders ","United States","Year 2007","July","21510.00","92.00","70.00","22.00","7.00","5.00","2.00","WORST","1"
"Catalog","Music, Movies and Audio Books","United States","Year 2007","September","21045.94","85.00","77.00","8.00","10.00","13.00","-3.00","WORST","5"
"Store","Audio","India","Year 2007","August","7302.40","61.00","41.00","20.00","26.00","38.00","-12.00","WORST","1"
"Store","Audio","South Korea","Year 2007","September","7528.98","84.00","76.00","8.00","15.00","23.00","-8.00","WORST","1"
"Store","Cameras and camcorders ","Turkmenistan","Year 2008","August","8513.59","100.00","18.00","82.00","20.00","27.00","-7.00","WORST","1"
"Store","Cameras and camcorders ","Bhutan","Year 2009","May","8942.28","70.00","100.00","-30.00","30.00","50.00","-20.00","WORST","1"
"Store","Cameras and camcorders ","India","Year 2007","December","14073.35","78.00","57.00","21.00","28.00","14.00","14.00","WORST","1"
"Store","Audio","India","Year 2007","December","17325.70","60.00","72.00","-12.00","22.00","31.00","-9.00","WORST","2"
"Store","Cameras and camcorders ","Pakistan","Year 2009","July","5227.47","83.00","33.00","50.00","16.00","20.00","-4.00","WORST","1"
"Store","Audio","Turkmenistan","Year 2008","April","12406.76","80.00","96.00","-16.00","17.00","32.00","-15.00","WORST","2"
"Online","Cameras and camcorders ","United States","Year 2007","October","22438.70","81.00","85.00","-4.00","12.00","25.00","-13.00","WORST","2"
"Store","Audio","Pakistan","Year 2009","June","14953.92","73.00","37.00","36.00","13.00","16.00","-3.00","WORST","1"
"Online","Music, Movies and Audio Books","China","Year 2009","February","21646.97","90.00","74.00","16.00","12.00","6.00","6.00","WORST","1"
"Reseller","Music, Movies and Audio Books","China","Year 2009","February","14916.40","90.00","60.00","30.00","10.00","5.00","5.00","WORST","2"
"Store","Cameras and camcorders ","Pakistan","Year 2009","March","2590.76","100.00","18.00","82.00","66.00","0.00","66.00","WORST","1"
"Online","Audio","United States","Year 2007","December","37172.68","84.00","89.00","-5.00","15.00","13.00","2.00","WORST","5"
"Store","Audio","Syria","Year 2007","December","10160.02","60.00","33.00","27.00","25.00","58.00","-33.00","WORST","1"
"Store","Cameras and camcorders ","Pakistan","Year 2009","May","9694.71","72.00","72.00","0.00","18.00","54.00","-36.00","WORST","1"
"Store","Cameras and camcorders ","Switzerland ","Year 2008","January","2206.80","100.00","100.00","0.00","100.00","100.00","0.00","WORST","1"
"Store","Music, Movies and Audio Books","India","Year 2007","January","288.2","66.00","","","33.00","","","WORST","2"
"Store","Music, Movies and Audio Books","Armenia","Year 2008","August","7392.22","85.00","50.00","35.00","10.00","0.00","10.00","WORST","1"
"Store","Cameras and camcorders ","Italy    ","Year 2008","January","20709.25","59.00","50.00","9.00","22.00","17.00","5.00","WORST","1"
"Store","Music, Movies and Audio Books","Turkmenistan","Year 2007","November","4365.31","53.00","41.00","12.00","50.00","35.00","15.00","WORST","2"
"Store","Cameras and camcorders ","Armenia","Year 2008","March","4677.24","66.00","42.00","24.00","33.00","0.00","33.00","WORST","1"
"Catalog","Cameras and camcorders ","United States","Year 2007","May","29346.25","78.00","70.00","8.00","10.00","5.00","5.00","WORST","1"
"Store","Audio","Pakistan","Year 2009","October","10032.84","82.00","45.00","37.00","26.00","20.00","6.00","WORST","3"
"Store","Music, Movies and Audio Books","Turkmenistan","Year 2007","January","196.5","100.00","","","100.00","","","WORST","1"
"Store","Music, Movies and Audio Books","Australia","Year 2008","July","13066.04","58.00","60.00","-2.00","34.00","12.00","22.00","WORST","1"
"Online","Audio","United States","Year 2007","July","22439.20","88.00","65.00","23.00","8.00","8.00","0.00","WORST","5"
"Store","Cameras and camcorders ","India","Year 2007","March","7457.15","70.00","50.00","20.00","30.00","16.00","14.00","WORST","1"
"Store","Cameras and camcorders ","Switzerland ","Year 2007","February","1146.75","100.00","","","100.00","","","WORST","1"
"Store","Audio","South Korea","Year 2007","October","11638.48","72.00","84.00","-12.00","31.00","15.00","16.00","WORST","3"
"Store","Music, Movies and Audio Books","South Korea","Year 2007","October","1952.86","100.00","45.00","55.00","33.00","36.00","-3.00","WORST","1"
"Store","Audio","Armenia","Year 2008","August","5918.56","76.00","88.00","-12.00","17.00","11.00","6.00","WORST","2"
"Store","Cameras and camcorders ","South Korea","Year 2007","November","3845.35","100.00","100.00","0.00","25.00","0.00","25.00","WORST","1"
"Store","Audio","Bhutan","Year 2009","September","20179.81","96.00","76.00","20.00","18.00","23.00","-5.00","WORST","1"
"Reseller","Audio","United States","Year 2009","February","29799.20","95.00","85.00","10.00","8.00","11.00","-3.00","WORST","4"
"Store","Cameras and camcorders ","Bhutan","Year 2009","September","5442.96","75.00","52.00","23.00","25.00","0.00","25.00","WORST","3"
"Store","Cameras and camcorders ","Poland ","Year 2007","December","8734.20","70.00","66.00","4.00","40.00","16.00","24.00","WORST","1"
"Store","Audio","Australia","Year 2008","June","27241.03","69.00","72.00","-3.00","43.00","21.00","22.00","WORST","1"
"Store","Audio","India","Year 2007","November","8623.68","72.00","34.00","38.00","31.00","26.00","5.00","WORST","1"
"Store","Music, Movies and Audio Books","Turkmenistan","Year 2007","December","5541.53","51.00","53.00","-2.00","24.00","50.00","-26.00","WORST","2"
"Store","Music, Movies and Audio Books","Armenia","Year 2008","May","1983.32","77.00","100.00","-23.00","22.00","0.00","22.00","WORST","1"
"Store","Audio","Armenia","Year 2008","May","10188.18","53.00","70.00","-17.00","23.00","20.00","3.00","WORST","2"
"Store","Audio","the Netherlands","Year 2007","June","8523.50","70.00","28.00","42.00","11.00","0.00","11.00","WORST","2"
"Store","Audio","South Korea","Year 2007","July","2096.06","100.00","25.00","75.00","16.00","0.00","16.00","WORST","1"
"Store","Cameras and camcorders ","Canada","Year 2007","August","41992.80","72.00","56.00","16.00","6.00","10.00","-4.00","WORST","1"
"Store","Audio","South Korea","Year 2007","August","5859.20","76.00","100.00","-24.00","23.00","16.00","7.00","WORST","3"
"Store","Cameras and camcorders ","India","Year 2007","September","13879.20","60.00","18.00","42.00","20.00","9.00","11.00","WORST","1"
"Store","Music, Movies and Audio Books","Thailand","Year 2008","April","1386.85","100.00","53.00","47.00","25.00","23.00","2.00","WORST","2"
"Store","Music, Movies and Audio Books","Poland ","Year 2007","July","3215.57","72.00","69.00","3.00","16.00","23.00","-7.00","WORST","3"
"Store","Audio","France","Year 2007","September","36070.00","14.00","30.00","-16.00","6.00","9.00","-3.00","WATCHLIST","5"
"Reseller","Audio","France","Year 2008","April","36299.26","83.00","84.00","-1.00","0.00","2.00","-2.00","WATCHLIST","1"
"Reseller","Music, Movies and Audio Books","France","Year 2008","April","13710.33","80.00","79.00","1.00","3.00","4.00","-1.00","WATCHLIST","2"
"Reseller","Cameras and camcorders ","France","Year 2008","April","17345.87","77.00","76.00","1.00","0.00","5.00","-5.00","WATCHLIST","3"
"Store","Cameras and camcorders ","France","Year 2008","April","34123.40","70.00","46.00","24.00","0.00","0.00","0.00","WATCHLIST","4"
"Store","Music, Movies and Audio Books","France","Year 2008","April","15715.55","68.00","44.00","24.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Cameras and camcorders ","France","Year 2008","August","42427.76","92.00","77.00","15.00","0.00","0.00","0.00","WATCHLIST","1"
"Store","Music, Movies and Audio Books","France","Year 2008","August","37952.33","90.00","83.00","7.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Audio","France","Year 2008","August","51933.95","87.00","83.00","4.00","0.00","0.00","0.00","WATCHLIST","3"
"Reseller","Music, Movies and Audio Books","France","Year 2008","August","61319.02","86.00","91.00","-5.00","0.00","0.00","0.00","WATCHLIST","4"
"Store","Cameras and camcorders ","France","Year 2008","August","49452.31","73.00","77.00","-4.00","2.00","0.00","2.00","WATCHLIST","5"
"Store","Cameras and camcorders ","France","Year 2008","December","37898.32","86.00","82.00","4.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Music, Movies and Audio Books","France","Year 2008","December","38696.81","83.00","87.00","-4.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Audio","France","Year 2008","December","29934.79","79.00","84.00","-5.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Audio","France","Year 2008","December","50886.36","71.00","77.00","-6.00","0.00","0.00","0.00","WATCHLIST","4"
"Reseller","Cameras and camcorders ","France","Year 2008","December","30446.00","66.00","68.00","-2.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Audio","France","Year 2008","February","44271.72","87.00","80.00","7.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Music, Movies and Audio Books","France","Year 2008","February","15633.32","81.00","81.00","0.00","0.00","2.00","-2.00","WATCHLIST","3"
"Store","Music, Movies and Audio Books","France","Year 2008","February","11832.46","66.00","19.00","47.00","0.00","14.00","-14.00","WATCHLIST","4"
"Reseller","Cameras and camcorders ","France","Year 2008","January","14216.68","81.00","68.00","13.00","0.00","12.00","-12.00","WATCHLIST","1"
"Reseller","Music, Movies and Audio Books","France","Year 2008","January","12829.62","81.00","33.00","48.00","2.00","22.00","-20.00","WATCHLIST","2"
"Reseller","Audio","France","Year 2008","January","24057.26","80.00","46.00","34.00","0.00","9.00","-9.00","WATCHLIST","3"
"Store","Cameras and camcorders ","France","Year 2008","January","15130.96","47.00","42.00","5.00","14.00","8.00","6.00","WATCHLIST","4"
"Store","Audio","France","Year 2008","January","16751.00","24.00","13.00","11.00","4.00","8.00","-4.00","WATCHLIST","5"
"Reseller","Music, Movies and Audio Books","France","Year 2008","July","27204.66","91.00","87.00","4.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Audio","France","Year 2008","July","46963.14","83.00","71.00","12.00","0.00","0.00","0.00","WATCHLIST","2"
"Store","Music, Movies and Audio Books","France","Year 2008","July","31583.21","83.00","68.00","15.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Cameras and camcorders ","France","Year 2008","July","50817.21","77.00","75.00","2.00","0.00","0.00","0.00","WATCHLIST","4"
"Reseller","Cameras and camcorders ","France","Year 2008","July","31178.35","77.00","73.00","4.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Music, Movies and Audio Books","France","Year 2008","June","20718.04","87.00","95.00","-8.00","0.00","0.00","0.00","WATCHLIST","1"
"Store","Cameras and camcorders ","France","Year 2008","June","51260.55","75.00","61.00","14.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Cameras and camcorders ","France","Year 2008","June","27161.95","73.00","79.00","-6.00","0.00","0.00","0.00","WATCHLIST","3"
"Reseller","Audio","France","Year 2008","June","49823.49","71.00","86.00","-15.00","0.00","0.00","0.00","WATCHLIST","4"
"Store","Music, Movies and Audio Books","France","Year 2008","June","20723.23","68.00","77.00","-9.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Audio","France","Year 2008","March","55252.58","84.00","87.00","-3.00","2.00","0.00","2.00","WATCHLIST","1"
"Reseller","Music, Movies and Audio Books","France","Year 2008","March","11554.10","79.00","81.00","-2.00","4.00","0.00","4.00","WATCHLIST","2"
"Store","Audio","France","Year 2008","March","44392.94","53.00","65.00","-12.00","0.00","0.00","0.00","WATCHLIST","4"
"Store","Cameras and camcorders ","France","Year 2008","March","37410.21","46.00","61.00","-15.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Music, Movies and Audio Books","France","Year 2008","May","21886.24","95.00","80.00","15.00","0.00","3.00","-3.00","WATCHLIST","1"
"Reseller","Audio","France","Year 2008","May","61022.46","86.00","83.00","3.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Cameras and camcorders ","France","Year 2008","May","44463.93","79.00","77.00","2.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Music, Movies and Audio Books","France","Year 2008","May","16214.76","77.00","68.00","9.00","0.00","0.00","0.00","WATCHLIST","4"
"Store","Audio","France","Year 2008","May","30882.78","66.00","56.00","10.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Music, Movies and Audio Books","France","Year 2008","November","57503.26","87.00","85.00","2.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Audio","France","Year 2008","November","55641.59","84.00","88.00","-4.00","0.00","0.00","0.00","WATCHLIST","2"
"Store","Cameras and camcorders ","France","Year 2008","November","29969.82","82.00","65.00","17.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Audio","France","Year 2008","November","60918.28","77.00","67.00","10.00","0.00","0.00","0.00","WATCHLIST","4"
"Reseller","Cameras and camcorders ","France","Year 2008","November","25598.30","68.00","83.00","-15.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Audio","France","Year 2008","October","45731.62","88.00","86.00","2.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Music, Movies and Audio Books","France","Year 2008","October","38621.26","85.00","83.00","2.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Cameras and camcorders ","France","Year 2008","October","24661.45","83.00","90.00","-7.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Audio","France","Year 2008","October","64103.37","67.00","63.00","4.00","0.00","0.00","0.00","WATCHLIST","4"
"Reseller","Cameras and camcorders ","France","Year 2008","September","37347.58","90.00","92.00","-2.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Audio","France","Year 2008","September","59978.94","86.00","87.00","-1.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Music, Movies and Audio Books","France","Year 2008","September","34282.41","83.00","86.00","-3.00","0.00","0.00","0.00","WATCHLIST","3"
"Reseller","Music, Movies and Audio Books","France","Year 2009","April","32021.20","100.00","100.00","0.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Cameras and camcorders ","France","Year 2009","April","49775.51","92.00","100.00","-8.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Audio","France","Year 2009","April","43263.93","82.00","86.00","-4.00","3.00","4.00","-1.00","WATCHLIST","3"
"Store","Audio","France","Year 2009","April","12074.37","66.00","60.00","6.00","0.00","0.00","0.00","WATCHLIST","4"
"Reseller","Cameras and camcorders ","France","Year 2009","August","27857.21","90.00","92.00","-2.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Audio","France","Year 2009","August","58780.69","87.00","96.00","-9.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Music, Movies and Audio Books","France","Year 2009","August","44788.47","84.00","90.00","-6.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Audio","France","Year 2009","August","50364.51","83.00","79.00","4.00","0.00","0.00","0.00","WATCHLIST","4"
"Store","Music, Movies and Audio Books","France","Year 2009","August","39808.81","72.00","78.00","-6.00","0.00","0.00","0.00","WATCHLIST","5"
"Store","Audio","France","Year 2009","December","23111.24","95.00","37.00","58.00","0.00","12.00","-12.00","WATCHLIST","1"
"Reseller","Audio","France","Year 2009","December","38423.48","95.00","97.00","-2.00","0.00","5.00","-5.00","WATCHLIST","2"
"Store","Music, Movies and Audio Books","France","Year 2009","December","29840.23","85.00","66.00","19.00","0.00","0.00","0.00","WATCHLIST","3"
"Reseller","Cameras and camcorders ","France","Year 2009","December","47637.52","81.00","66.00","15.00","0.00","0.00","0.00","WATCHLIST","4"
"Reseller","Music, Movies and Audio Books","France","Year 2009","December","27258.29","72.00","78.00","-6.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Music, Movies and Audio Books","France","Year 2009","February","38147.78","93.00","86.00","7.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Audio","France","Year 2009","February","39739.32","92.00","83.00","9.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Cameras and camcorders ","France","Year 2009","February","34317.89","88.00","87.00","1.00","0.00","6.00","-6.00","WATCHLIST","3"
"Store","Music, Movies and Audio Books","France","Year 2009","February","32587.85","86.00","59.00","27.00","4.00","0.00","4.00","WATCHLIST","4"
"Store","Audio","France","Year 2009","February","20251.24","75.00","45.00","30.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Music, Movies and Audio Books","France","Year 2009","January","46943.29","86.00","83.00","3.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Audio","France","Year 2009","January","37090.82","83.00","79.00","4.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Music, Movies and Audio Books","France","Year 2009","January","46292.29","59.00","56.00","3.00","0.00","0.00","0.00","WATCHLIST","4"
"Store","Audio","France","Year 2009","January","43092.67","45.00","71.00","-26.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Audio","France","Year 2009","July","50381.21","96.00","91.00","5.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Cameras and camcorders ","France","Year 2009","July","32080.66","92.00","88.00","4.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Music, Movies and Audio Books","France","Year 2009","July","33597.62","90.00","80.00","10.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Audio","France","Year 2009","July","57874.36","79.00","79.00","0.00","0.00","0.00","0.00","WATCHLIST","4"
"Store","Music, Movies and Audio Books","France","Year 2009","July","38730.23","78.00","75.00","3.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Audio","France","Year 2009","June","70136.73","91.00","84.00","7.00","0.00","7.00","-7.00","WATCHLIST","1"
"Reseller","Cameras and camcorders ","France","Year 2009","June","50633.33","88.00","94.00","-6.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Music, Movies and Audio Books","France","Year 2009","June","35228.77","80.00","80.00","0.00","0.00","2.00","-2.00","WATCHLIST","3"
"Store","Audio","France","Year 2009","June","44736.33","79.00","80.00","-1.00","0.00","0.00","0.00","WATCHLIST","5"
"Reseller","Music, Movies and Audio Books","France","Year 2009","March","39717.54","100.00","93.00","7.00","0.00","0.00","0.00","WATCHLIST","1"
"Store","Cameras and camcorders ","France","Year 2009","March","17212.14","100.00","66.00","34.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Cameras and camcorders ","France","Year 2009","March","48739.80","100.00","88.00","12.00","0.00","0.00","0.00","WATCHLIST","3"
"Reseller","Audio","France","Year 2009","March","42850.13","86.00","92.00","-6.00","4.00","0.00","4.00","WATCHLIST","4"
"Reseller","Cameras and camcorders ","France","Year 2009","May","55270.63","94.00","92.00","2.00","0.00","0.00","0.00","WATCHLIST","1"
"Store","Music, Movies and Audio Books","France","Year 2009","May","59461.09","80.00","61.00","19.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Audio","France","Year 2009","May","36628.83","80.00","66.00","14.00","0.00","0.00","0.00","WATCHLIST","4"
"Reseller","Music, Movies and Audio Books","France","Year 2009","May","49300.31","80.00","100.00","-20.00","2.00","0.00","2.00","WATCHLIST","5"
"Reseller","Music, Movies and Audio Books","France","Year 2009","November","36792.61","78.00","80.00","-2.00","0.00","5.00","-5.00","WATCHLIST","2"
"Store","Music, Movies and Audio Books","France","Year 2009","November","32477.20","66.00","63.00","3.00","0.00","0.00","0.00","WATCHLIST","3"
"Reseller","Cameras and camcorders ","France","Year 2009","November","21236.70","66.00","66.00","0.00","0.00","6.00","-6.00","WATCHLIST","4"
"Store","Cameras and camcorders ","France","Year 2009","November","28747.27","54.00","77.00","-23.00","0.00","0.00","0.00","WATCHLIST","5"
"Store","Cameras and camcorders ","France","Year 2009","October","40589.49","77.00","50.00","27.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Audio","France","Year 2009","October","40417.40","68.00","54.00","14.00","2.00","0.00","2.00","WATCHLIST","4"
"Reseller","Audio","France","Year 2009","September","59120.02","93.00","87.00","6.00","0.00","0.00","0.00","WATCHLIST","1"
"Reseller","Cameras and camcorders ","France","Year 2009","September","30826.13","91.00","90.00","1.00","0.00","0.00","0.00","WATCHLIST","2"
"Reseller","Music, Movies and Audio Books","France","Year 2009","September","47330.66","87.00","84.00","3.00","0.00","0.00","0.00","WATCHLIST","3"
"Store","Music, Movies and Audio Books","France","Year 2009","September","52068.90","56.00","72.00","-16.00","0.00","0.00","0.00","WATCHLIST","4"
"Store","Audio","France","Year 2009","September","38798.64","54.00","83.00","-29.00","0.00","0.00","0.00","WATCHLIST","5"
"Online","Music, Movies and Audio Books","Germany","Year 2007","April","9149.57","96.00","83.00","13.00","0.00","12.00","-12.00","WATCHLIST","1"
"Online","Cameras and camcorders ","Germany","Year 2007","April","28492.95","87.00","94.00","-7.00","0.00","11.00","-11.00","WATCHLIST","3"
"Online","Music, Movies and Audio Books","Germany","Year 2007","August","11472.82","59.00","77.00","-18.00","2.00","7.00","-5.00","WATCHLIST","2"
"Online","Audio","Germany","Year 2007","August","23970.78","45.00","65.00","-20.00","16.00","8.00","8.00","WATCHLIST","3"
"Online","Cameras and camcorders ","Germany","Year 2007","December","33210.25","59.00","44.00","15.00","4.00","16.00","-12.00","WATCHLIST","1"
"Online","Audio","Germany","Year 2007","December","32226.60","46.00","57.00","-11.00","7.00","0.00","7.00","WATCHLIST","2"
"Online","Music, Movies and Audio Books","Germany","Year 2007","December","10417.25","33.00","40.00","-7.00","9.00","9.00","0.00","WATCHLIST","3"
"Online","Music, Movies and Audio Books","Germany","Year 2007","February","2915.50","72.00","55.00","17.00","9.00","11.00","-2.00","WATCHLIST","2"
"Online","Cameras and camcorders ","Germany","Year 2007","February","7033.40","71.00","20.00","51.00","14.00","20.00","-6.00","WATCHLIST","3"
"Online","Music, Movies and Audio Books","Germany","Year 2007","January","1192.1","55.00","","","11.00","","","WATCHLIST","2"
