"product","actual_value","pct_overstock","actual_value_overstock","solution_layer"
"Litware Home Theater System 7.1 Channel M710 Silver","9240581.04","98.00","9206961.60","Reduce purchasing"
"A. Datum SLR Camera X136 Silver","9261475.02","98.00","9189466.79","Reduce purchasing"
"Fabrikam SLR Camera 35"" X358 Grey","9151439.96","99.00","9134964.68","Reduce purchasing"
"Litware Home Theater System 7.1 Channel M710 Brown","9155341.20","97.00","9093396.72","Reduce purchasing"
"Proseware Floor Lamp X0115 White","9107529.12","99.00","9086878.56","Reduce purchasing"
"Contoso SLR Camera 35"" M358 Blue","9104203.63","99.00","9086588.22","Reduce purchasing"
"Litware Refrigerator 3.2CuFt E160 Blue","9119583.75","99.00","9085038.25","Reduce purchasing"
"Adventure Works Laptop12 M1201 Silver","9106384.08","97.00","9076317.12","Reduce purchasing"
"A. Datum Consumer Digital Camera E100 Black","9092282.42","99.00","9073945.14","Reduce purchasing"
"A. Datum Consumer Digital Camera E100 Azure","9078529.46","99.00","9060335.44","Reduce purchasing"
"Contoso SLR Camera X146 Orange","9063982.90","99.00","9025503.06","Reduce purchasing"
"Adventure Works 20"" LCD HDTV M120 Silver","9061324.58","98.00","9023184.17","Reduce purchasing"
"Adventure Works 20"" LCD HDTV M120 White","9034449.27","98.00","9011436.28","Reduce purchasing"
"Fabrikam Refrigerator 3.2CuFt E1600 Orange","9060485.25","98.00","9010808.25","Reduce purchasing"
"Litware Refrigerator 3.2CuFt E160 Grey","9042070.50","98.00","8995105.75","Reduce purchasing"
"Litware Home Theater System 7.1 Channel M710 Black","9080954.88","96.00","8994920.88","Reduce purchasing"
"A. Datum Consumer Digital Camera E100 Green","9004464.04","99.00","8985123.94","Reduce purchasing"
"Fabrikam Refrigerator 3.2CuFt E1600 Blue","9006525.75","98.00","8972836.75","Reduce purchasing"
"Fabrikam SLR Camera 35"" X358 Pink","9015013.08","98.00","8967176.96","Reduce purchasing"
"A. Datum Consumer Digital Camera E100 Pink","8983118.30","98.00","8954609.56","Reduce purchasing"
"Proseware Floor Lamp X0115 Black","8971825.44","99.00","8953282.08","Reduce purchasing"
"SV Car Video LCD7 M7002 Silver","8957935.10","98.00","8942493.31","Reduce purchasing"
"Fabrikam Refrigerator 3.2CuFt E1600 Grey","8971980.25","99.00","8938719.50","Reduce purchasing"
"Fabrikam SLR Camera 35"" X358 Silver Grey","8966454.36","98.00","8937261.32","Reduce purchasing"
"Fabrikam SLR Camera 35"" X358 Black","8943331.16","99.00","8931769.56","Reduce purchasing"
"A. Datum Consumer Digital Camera E100 Silver","8931687.96","98.00","8890858.86","Reduce purchasing"
"Fabrikam SLR Camera 35"" X358 Silver","8903010.08","98.00","8870637.60","Reduce purchasing"
"SV Car Video LCD7 M7002 Black","8862399.63","99.00","8839830.86","Reduce purchasing"
"A. Datum SLR Camera X142 Orange","8868612.83","99.00","8839752.95","Reduce purchasing"
"Fabrikam SLR Camera X150 Orange","8841968.00","98.00","8821272.0","Reduce purchasing"
"Proseware Floor Lamp X0115 Silver","8790606.24","99.00","8767848.48","Reduce purchasing"
"Contoso Home Theater System 2.1 Channel E1200 White","8862251.84","97.00","8757982.88","Discount"
"Litware Home Theater System 4.1 Channel M410 Brown","8774227.38","96.00","8711147.04","Reduce purchasing"
"Adventure Works 20"" LCD HDTV M120 Black","8734314.82","98.00","8697461.85","Reduce purchasing"
"Adventure Works 20"" LCD HDTV M120 Brown","8688449.77","98.00","8640975.42","Reduce purchasing"
"Fabrikam Refrigerator 3.2CuFt E1600 White","8624241.25","99.00","8587982.75","Reduce purchasing"
"Adventure Works 19"" Portable LCD HDTV M110 Silver","8580823.92","98.00","8552625.48","Reduce purchasing"
"Adventure Works 19"" Portable LCD HDTV M110 White","8558162.16","98.00","8525070.84","Reduce purchasing"
"Cigarette Lighter Adapter for Contoso Phones E110 Black","9113902.98","78.00","8522716.02","Reduce purchasing"
"Cigarette Lighter Adapter for Contoso Phones E110 White","9161588.80","78.00","8491859.74","Reduce purchasing"
"Proseware Floor Lamp X0115 Grey","8493280.32","98.00","8465254.56","Reduce purchasing"
"Contoso SLR Camera M146 Orange","8519190.48","97.00","8441892.72","Discount"
"Fabrikam SLR Camera 35"" M358 Silver Grey","8506621.80","97.00","8414156.88","Discount"
"Litware Home Theater System 2.1 Channel E210 Brown","8488926.28","97.00","8393956.16","Discount"
"Litware Home Theater System 2.1 Channel E210 Black","8494261.68","97.00","8377492.64","Discount"
"Fabrikam SLR Camera 35"" M358 Gold","8478867.24","97.00","8372072.52","Discount"
"Litware Home Theater System 5.1 Channel M510 Black","8373255.75","98.00","8337406.05","Reduce purchasing"
"Fabrikam SLR Camera 35"" M358 Orange","8451263.52","97.00","8330440.68","Discount"
"Litware Home Theater System 2.1 Channel E212 Silver","8393292.60","97.00","8306904.1","Discount"
"SV Car Video LCD9.2W X9281 Silver","8308507.44","98.00","8277700.00","Reduce purchasing"
"Cigarette Lighter Adapter for Contoso Phones E110 Red","8986426.54","78.00","8268553.02","Reduce purchasing"
"Fabrikam Refrigerator 24.7CuFt X9800 Brown","8342871.18","97.00","8252752.48","Reduce purchasing"
"Contoso Home Theater System 2.1 Channel E1200 Brown","8310571.48","97.00","8198832.96","Discount"
"Litware Home Theater System 5.1 Channel M514 Black","8253883.44","97.00","8198515.98","Reduce purchasing"
"Fabrikam Laptop12W M2080 Silver","8211861.98","98.00","8182162.66","Reduce purchasing"
"Fabrikam SLR Camera 35"" M358 Green","8331345.72","96.00","8171757.00","Discount"
"SV Car Video LCD7 M7001 Silver","8178672.80","98.00","8150682.3","Reduce purchasing"
"Fabrikam SLR Camera 35"" M358 Black","8234053.92","97.00","8137214.64","Discount"
"SV Car Video TFT6.2W E6280 Brown","8217916.00","97.00","8125460.00","Discount"
"Proseware Floor Lamp X0115 Blue","8158656.96","98.00","8118620.16","Reduce purchasing"
"Litware Home Theater System 5.1 Channel M514 Brown","8168766.30","96.00","8103206.82","Reduce purchasing"
"Fabrikam SLR Camera 35"" M358 Blue","8194081.32","97.00","8097392.88","Discount"
"Litware Home Theater System 2.1 Channel E212 Brown","8171893.40","98.00","8093608.6","Discount"
"Litware Home Theater System 2.1 Channel E212 Black","8180914.50","97.00","8086116.5","Discount"
"Fabrikam Refrigerator 24.7CuFt X9800 Green","8188079.06","95.00","8072515.08","Reduce purchasing"
"Contoso Home Theater System 2.1 Channel E1200 Silver","8119259.28","97.00","8032368.48","Discount"
"SV Car Video LCD7 M7001 Brown","8008006.40","99.00","7987429.6","Reduce purchasing"
"Contoso Home Theater System 2.1 Channel E1200 Black","8096393.28","96.00","7964380.24","Discount"
"Adventure Works 19"" Portable LCD HDTV M110 Black","7962775.92","99.00","7937925.24","Reduce purchasing"
"Proseware Projector 480p LCD12 Silver","7951025.25","99.00","7935964.50","Reduce purchasing"
"A. Datum SLR Camera M137 Grey","8012497.12","97.00","7895704.40","Discount"
"SV Car Video LCD9.2W X9281 Brown","7934499.36","98.00","7889583.84","Reduce purchasing"
"SV Car Video TFT6.2W E6282 Black","7946303.02","97.00","7854967.78","Discount"
"A. Datum SLR Camera M142 Orange","7993414.28","96.00","7853234.32","Discount"
"Litware Home Theater System 2.1 Channel E210 Silver","7920325.08","98.00","7852184.40","Discount"
"Contoso Home Theater System 5.1 Channel M1510 White","7874947.40","97.00","7816930.94","Reduce purchasing"
"A. Datum SLR Camera M136 Silver","7894843.52","97.00","7795985.80","Discount"
"Proseware Projector 480p LCD12 Black","7689271.75","99.00","7666972.50","Reduce purchasing"
"A. Datum SLR Camera M135 Black","7761837.56","97.00","7664127.68","Discount"
"Adventure Works Laptop16 M1600 Black","7663021.74","99.00","7646494.14","Reduce purchasing"
"SV Car Video LCD7 M7001 Black","7679382.80","98.00","7642314.3","Reduce purchasing"
"SV Car Video TFT6.2W E6280 Silver","7720644.96","97.00","7612258.08","Discount"
"Proseware Projector 480p LCD12 White","7609181.25","99.00","7592602.75","Reduce purchasing"
"Contoso SLR Camera M142 Black","7654066.40","97.00","7562083.6","Discount"
"WWI Projector 480p LCD12 White","7584430.25","98.00","7556527.00","Reduce purchasing"
"Litware Refrigerator L1200 Orange","7569970.80","96.00","7550886.84","Discount"
"SV Car Video TFT6.2W E6280 Black","7619939.04","97.00","7534026.08","Discount"
"Litware Home Theater System 2.1 Channel E211 Silver","7593868.80","97.00","7511859.2","Discount"
"Contoso Projector 480p M480 White","7540882.50","98.00","7503522.50","Reduce purchasing"
"SV Car Video TFT6.2W E6282 Brown","7548871.30","98.00","7479204.18","Discount"
"Litware Home Theater System 5.1 Channel M510 Silver","7504341.30","97.00","7469079.30","Reduce purchasing"
"Contoso SLR Camera M143 Grey","7522777.80","97.00","7457631.0","Discount"
"A. Datum SLR Camera M140 Pink","7557235.08","97.00","7446612.00","Discount"
"Contoso Projector 480p M480 Silver","7453670.25","98.00","7434289.75","Reduce purchasing"
"Litware Home Theater System 2.1 Channel E211 Black","7530297.60","97.00","7424483.2","Discount"
"Litware Home Theater System 2.1 Channel E211 Brown","7511033.60","97.00","7420630.4","Discount"
"SV Car Video TFT6.2W E6282 Silver","7469330.10","98.00","7413651.26","Discount"
"WWI Projector 480p LCD12 Black","7427284.75","98.00","7397863.75","Reduce purchasing"
"SV Car Video LCD9.2W X9281 Black","7434670.24","98.00","7377374.16","Reduce purchasing"
"Contoso Water Heater 1.5GPM E0800 Green","7449483.60","97.00","7348398.00","Discount"
"Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 Black","7391174.64","97.00","7347226.64","Reduce purchasing"
"Fabrikam SLR Camera 35"" M358 Grey","7398551.16","98.00","7337008.44","Discount"
"WWI Projector 480p LCD12 Silver","7353382.00","98.00","7328747.75","Reduce purchasing"
"Fabrikam Budget Moviemaker 1'' 25mm E400 Black","7373388.68","97.00","7322231.00","Reduce purchasing"
"Litware Home Theater System 5.1 Channel M514 Silver","7361393.04","97.00","7310708.40","Reduce purchasing"
"Litware 18'' Oscillating Pedestal Fan M145 Blue","7327648.25","98.00","7300607.60","Reduce purchasing"
"Contoso Water Heater 1.5GPM E0800 White","7357850.16","97.00","7260177.84","Discount"
"Fabrikam Refrigerator 24.7CuFt X9800 Silver","7308096.46","94.00","7248724.14","Reduce purchasing"
"Fabrikam Refrigerator 24.7CuFt X9800 Blue","7263567.22","96.00","7215857.32","Reduce purchasing"
"Contoso Home Theater System 5.1 Channel M1510 Brown","7241938.35","97.00","7189768.51","Reduce purchasing"
"Contoso Projector 480p M480 Black","7168917.00","98.00","7145100.00","Reduce purchasing"
"SV Car Video TFT6.2W E6281 Black","7203987.75","97.00","7116966.80","Discount"
"Litware 18'' Oscillating Pedestal Fan M145 White","7129718.05","98.00","7103045.30","Reduce purchasing"
"Contoso Water Heater 1.5GPM E0800 Blue","7155153.84","97.00","7080324.24","Discount"
"Litware 18'' Oscillating Pedestal Fan M145 Yellow","7081523.15","99.00","7053378.80","Reduce purchasing"
"Litware 18'' Oscillating Pedestal Fan M145 Pink","6992307.40","98.00","6954045.80","Reduce purchasing"
"Contoso Home Theater System 5.1 Channel M1510 Silver","6968496.43","97.00","6938363.85","Reduce purchasing"
"A. Datum SLR Camera 35"" X358 Silver","6972023.34","97.00","6924682.08","Reduce purchasing"
"Contoso Water Heater 1.5GPM E0800 Silver","6991841.52","97.00","6919768.80","Discount"
"Contoso Water Heater 1.5GPM E0800 Red","6991447.68","97.00","6908347.44","Discount"
"Litware Home Theater System 5.1 Channel M510 Brown","6925162.95","98.00","6900185.70","Reduce purchasing"
"Fabrikam SLR Camera M146 Black","6991635.84","97.00","6884976.00","Discount"
"Fabrikam Refrigerator 24.7CuFt X9800 Grey","6846900.76","97.00","6846900.76","Reduce purchasing"
"SV Car Video TFT6.2W E6281 Silver","6923909.70","97.00","6835304.15","Discount"
"Contoso Water Heater 1.5GPM E0800 Grey","6865550.16","98.00","6800172.72","Discount"
"SV Car Video TFT6.2W E6281 Brown","6894330.50","96.00","6798462.20","Discount"
"A. Datum SLR Camera M141 Blue","6894787.92","96.00","6791912.76","Discount"
"Fabrikam SLR Camera X148 Gold","6791180.64","99.00","6777902.16","Reduce purchasing"
"Fabrikam Refrigerator 24.7CuFt X9800 Orange","6806612.40","96.00","6774805.80","Reduce purchasing"
"Contoso Home Theater System 5.1 Channel M1510 Black","6796470.88","97.00","6749697.92","Reduce purchasing"
"Fabrikam Refrigerator 24.7CuFt X9800 White","6730276.56","96.00","6675145.12","Reduce purchasing"
"Adventure Works 52"" LCD HDTV X590 Black","6640227.02","98.00","6614284.88","Reduce purchasing"
"Adventure Works 32"" LCD HDTV M130 Silver","6650035.46","97.00","6600830.44","Reduce purchasing"
"Adventure Works Chandelier M6150 Blue","6593395.68","99.00","6581973.60","Reduce purchasing"
"Litware Chandelier M6015 Silver","6543900.00","98.00","6512806.56","Reduce purchasing"
"Adventure Works 32"" LCD HDTV M130 Black","6574388.49","96.00","6500810.89","Reduce purchasing"
"Adventure Works 32"" LCD HDTV M130 Brown","6519665.15","98.00","6489314.39","Reduce purchasing"
"Contoso Home Theater System 5.1 Channel M1540 Silver","6465630.06","96.00","6419652.03","Reduce purchasing"
"Contoso Home Theater System 5.1 Channel M1540 Black","6446411.73","97.00","6416489.52","Reduce purchasing"
"Proseware Air conditioner 12000BTU M640 Silver","6452722.65","97.00","6410205.12","Reduce purchasing"
"Adventure Works Chandelier M6150 White","6364954.08","98.00","6332803.04","Monitor"
"Contoso Home Theater System 5.1 Channel M1540 White","6350563.35","98.00","6313099.77","Monitor"
"Adventure Works 32"" LCD HDTV M130 White","6334341.57","98.00","6297552.77","Monitor"
"Proseware Air conditioner 12000BTU M640 Red","6334688.91","97.00","6276729.69","Monitor"
"Contoso Air conditioner 12000BTU M0640 Red","6322420.17","97.00","6271864.50","Monitor"
"SV Car Video AM/FM E1001 Brown","6333346.25","97.00","6254856.30","Monitor"
"Proseware Chandelier M0615 Silver","6275692.64","98.00","6252213.92","Monitor"
"Litware Chandelier M6015 White","6270404.64","98.00","6251262.08","Monitor"
"Proseware Chandelier M0615 Blue","6257607.68","98.00","6241320.64","Monitor"
"Proseware Air conditioner 12000BTU M640 White","6270595.32","97.00","6228289.32","Monitor"
"WWI Chandelier M615 Black","6244704.96","98.00","6208217.76","Monitor"
"Contoso Air conditioner 12000BTU M0640 White","6221731.89","98.00","6203751.84","Monitor"
"Contoso Home Theater System 5.1 Channel M1540 Brown","6240118.77","97.00","6193410.93","Monitor"
"A. Datum Super-zoom Digital Camera X300 Grey","6178040.08","99.00","6172851.76","Monitor"
"A. Datum Super-zoom Digital Camera X300 Pink","6178424.40","99.00","6157671.12","Monitor"
"A. Datum Super-zoom Digital Camera X300 Azure","6159304.48","99.00","6147870.96","Monitor"
"WWI Chandelier M615 White","6151530.40","99.00","6141271.68","Monitor"
"WWI Chandelier M615 Silver","6162423.68","98.00","6135666.40","Monitor"
"Proseware Air conditioner 10000BTU M490 Red","6145759.20","97.00","6116493.68","Monitor"
"WWI Chandelier M615 Grey","6146982.72","98.00","6114831.68","Monitor"
"Contoso Air conditioner 10000BTU M0490 White","6137849.60","98.00","6111945.66","Monitor"
"Proseware Chandelier M0615 White","6148780.64","98.00","6111764.64","Monitor"
"Proseware Chandelier M0615 Grey","6103198.08","98.00","6067345.44","Monitor"
"A. Datum Point Shoot Digital Camera M500 Black","6094249.65","98.00","6064749.45","Monitor"
"Contoso Air conditioner 12000BTU M0640 Grey","6092910.12","98.00","6052296.36","Monitor"
"A. Datum Point n' Shoot Digital Camera M500 Grey","6048451.50","99.00","6030332.55","Monitor"
"Contoso Projector 1080p X981 Black","6030933.48","98.00","6022653.78","Monitor"
"A. Datum SLR-like Digital Camera M400 Black","6024291.50","98.00","6004370.50","Monitor"
"A. Datum Super-zoom Digital Camera X300 Orange","6014319.76","99.00","6000484.24","Monitor"
"SV Car Video AM/FM E1001 Black","6065386.25","97.00","5990357.45","Monitor"
"Litware Chandelier M6015 Blue","6001351.20","98.00","5979353.12","Monitor"
"Adventure Works Chandelier M6150 Grey","6011186.88","98.00","5977026.40","Monitor"
"WWI Chandelier M615 Blue","5994582.56","98.00","5975757.28","Monitor"
"SV Car Video AM/FM E1001 Silver","6037920.35","97.00","5974056.55","Monitor"
"Contoso Air conditioner 12000BTU M0640 Blue","6036220.08","95.00","5953511.85","Monitor"
"Adventure Works Chandelier M6150 Black","5963806.40","98.00","5942125.60","Monitor"
"Adventure Works Chandelier M6150 Silver","5960950.88","98.00","5930915.04","Monitor"
"A. Datum Point n' Shoot Digital Camera M500 Azure","5945382.90","98.00","5930541.75","Monitor"
"A. Datum Point Shoot Digital Camera M500 Green","5924896.65","99.00","5907870.30","Monitor"
"Contoso Air conditioner 10000BTU M0490 Grey","5940307.34","97.00","5900561.60","Monitor"
"Proseware Chandelier M0615 Black","5930280.48","98.00","5889245.60","Monitor"
"A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange","5898053.33","98.00","5875411.88","Monitor"
"Litware Chandelier M6015 Black","5897812.16","99.00","5874121.92","Monitor"
"Adventure Works 52"" LCD HDTV X590 Brown","5890787.42","96.00","5864845.28","Monitor"
"A. Datum Point Shoot Digital Camera M500 Orange","5856700.20","98.00","5831297.25","Monitor"
"A. Datum Advanced Digital Camera M300 Black","5829056.64","99.00","5808600.16","Monitor"
"A. Datum Advanced Digital Camera M300 Orange","5827409.72","98.00","5797765.16","Monitor"
"A. Datum SLR-like Digital Camera M400 Silver","5821097.30","98.00","5795381.10","Monitor"
"Contoso Air conditioner 12000BTU M0640 Silver","5829343.74","97.00","5795287.41","Monitor"
"Contoso Air conditioner 10000BTU M0490 Silver","5820279.16","98.00","5788838.50","Monitor"
"Fabrikam SLR Camera 35"" M358 Silver","5838262.20","96.00","5776417.80","Monitor"
"A. Datum All in One Digital Camera M200 Pink","5787049.45","99.00","5776070.30","Monitor"
"Litware Chandelier M6015 Grey","5781793.44","99.00","5775024.80","Monitor"
"A. Datum All in One Digital Camera M200 Silver","5806673.60","98.00","5773217.45","Monitor"
"A. Datum SLR-like Digital Camera M400 Orange","5788137.10","98.00","5762239.80","Monitor"
"Proseware Office Jet Wireless All-in-One Inkjet Printer M600 White","5755586.12","98.00","5733830.99","Monitor"
"Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Grey","5745967.76","98.00","5733439.69","Monitor"
"Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Black","5742632.95","99.00","5731456.83","Monitor"
"A. Datum Bridge Digital Camera M300 Orange","5734584.00","99.00","5715159.30","Monitor"
"Proseware Air conditioner 6000BTU E180 White","5776135.96","97.00","5713940.36","Monitor"
"Contoso SLR Camera M143 Silver","5747457.60","97.00","5699226.6","Monitor"
"Proseware Air conditioner 10000BTU M490 Silver","5726748.14","98.00","5696889.40","Monitor"
"A. Datum Point Shoot Digital Camera M500 Pink","5707196.10","98.00","5684433.60","Monitor"
"Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 White","5715143.30","98.00","5684048.45","Monitor"
"Contoso SLR Camera 35"" M358 Silver Grey","5714801.19","97.00","5675948.51","Monitor"
"Contoso Air conditioner 6000BTU E0180 Red","5753602.80","97.00","5675297.52","Monitor"
"Proseware Wireless Photo All-in-One Printer M390 Grey","5684519.75","99.00","5674578.00","Monitor"
"A. Datum Bridge Digital Camera M300 Grey","5697797.40","98.00","5670465.30","Monitor"
"A. Datum Point Shoot Digital Camera M500 Silver Grey","5684524.65","98.00","5665131.00","Monitor"
"Litware Microwave 1.6CuFt M125 Red","5682160.50","99.00","5665109.88","Monitor"
"Proseware High-Performance Business-Class Laser Fax X200 Black","5690929.86","99.00","5663320.74","Monitor"
"Contoso Air conditioner 10000BTU M0490 Blue","5673556.08","98.00","5652397.90","Monitor"
"Contoso Air conditioner 10000BTU M0490 Red","5686013.70","96.00","5635590.00","Monitor"
"A. Datum SLR Camera M138 Silver Grey","5712943.16","96.00","5634316.12","Monitor"
"A. Datum SLR-like Digital Camera M400 Azure","5658650.60","98.00","5632572.20","Monitor"
"A. Datum Advanced Digital Camera M300 Green","5646335.20","99.00","5626312.12","Monitor"
"A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black","5652548.98","98.00","5626000.77","Monitor"
"Contoso Air conditioner 6000BTU E0180 Silver","5692426.80","97.00","5611062.72","Monitor"
"Litware Home Theater System 4.1 Channel M412 Silver","5632754.82","97.00","5603710.56","Monitor"
"A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver","5603625.69","98.00","5593770.00","Monitor"
"A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink","5604336.01","98.00","5581428.19","Monitor"
"Contoso Home Theater System 2.1 Channel E1220 Black","5659134.42","97.00","5573908.02","Monitor"
"A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure","5584269.47","99.00","5572993.14","Monitor"
"Proseware Air conditioner 10000BTU M490 White","5614629.56","96.00","5572510.94","Monitor"
"Adventure Works 52"" LCD HDTV X590 Silver","5580442.56","98.00","5570834.36","Monitor"
"WWI LCD22W M2003 Black","5613226.47","97.00","5564407.98","Monitor"
"A. Datum All in One Digital Camera M200 Black","5586571.90","98.00","5564008.45","Monitor"
"A. Datum All in One Digital Camera M200 Green","5573345.05","99.00","5560204.65","Monitor"
"A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green","5571661.29","98.00","5538986.57","Monitor"
"Proseware Air conditioner 6000BTU E180 Grey","5607188.24","97.00","5538671.12","Monitor"
"Contoso Home Theater System 2.1 Channel E1220 Silver","5579589.78","97.00","5517800.64","Monitor"
"SV Car Video AM/FM E1000 Black","5591156.22","97.00","5516988.96","Monitor"
"A. Datum Bridge Digital Camera M300 Pink","5531484.15","98.00","5516185.05","Monitor"
"Proseware Wireless Photo All-in-One Printer M390 Black","5511879.10","99.00","5495972.30","Monitor"
"SV Car Video AM/FM E1000 Brown","5542962.72","97.00","5483710.08","Monitor"
"Contoso Projector 1080p X981 Silver","5520075.99","96.00","5481989.37","Monitor"
"Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Grey","5501514.16","99.00","5481331.69","Monitor"
"Contoso Microwave 1.6CuFt M0125 Black","5492451.66","98.00","5473745.64","Monitor"
"Proseware Air conditioner 12000BTU M640 Grey","5516702.40","96.00","5469954.27","Monitor"
"A. Datum Consumer Digital Camera M300 Pink","5491099.32","98.00","5460811.44","Monitor"
"A. Datum Consumer Digital Camera M300 Azure","5483124.36","98.00","5459114.64","Monitor"
"A. Datum All in One Digital Camera M200 Grey","5492600.75","97.00","5453093.10","Monitor"
"Contoso Home Theater System 2.1 Channel E1220 Brown","5513032.02","97.00","5449315.14","Monitor"
"A. Datum Consumer Digital Camera M300 Orange","5458605.60","98.00","5444097.96","Monitor"
"Litware Home Theater System 4.1 Channel M413 Black","5455119.29","97.00","5432901.93","Monitor"
"A. Datum Bridge Digital Camera M300 Green","5455332.45","99.00","5431868.10","Monitor"
"Fabrikam Business Videographer 1/2'' 3mm M500 White","5487098.40","95.00","5427745.68","Monitor"
"Contoso Air conditioner 6000BTU E0180 White","5466585.40","98.00","5426209.24","Monitor"
"A. Datum Advanced Digital Camera M300 Pink","5447924.68","98.00","5424087.68","Monitor"
"Adventure Works 20"" Analog CRT TV E45 Silver","5486903.73","97.00","5409916.38","Monitor"
"WWI LCD22 M2002 White","5436115.54","98.00","5403506.23","Monitor"
"Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Black","5430307.61","98.00","5401300.77","Monitor"
"Contoso Microwave 1.6CuFt M0125 White","5410592.13","98.00","5398176.63","Monitor"
"Proseware Wireless Photo All-in-One Printer M390 White","5421625.30","98.00","5396641.25","Monitor"
"A. Datum Super-zoom Digital Camera X300 Green","5412186.40","99.00","5395084.16","Monitor"
"Litware Home Theater System 4.1 Channel M413 Silver","5403867.88","98.00","5380135.70","Monitor"
"Litware Microwave 1.6CuFt M125 Black","5399914.80","98.00","5371938.54","Monitor"
"Proseware Air conditioner 6000BTU E180 Red","5453942.36","97.00","5365033.24","Monitor"
"A. Datum Consumer Digital Camera M300 Green","5392430.40","98.00","5362990.92","Monitor"
"Contoso Home Theater System 5.1 Channel M1520 Silver","5390052.64","98.00","5359654.09","Monitor"
"Proseware Air conditioner 10000BTU M490 Grey","5383471.50","97.00","5354601.46","Monitor"
"A. Datum Consumer Digital Camera M300 Black","5358155.04","98.00","5347465.20","Monitor"
"Litware Microwave 1.6CuFt M125 White","5371524.69","98.00","5344955.52","Monitor"
"Fabrikam Microwave 1.6CuFt M1250 Red","5337671.76","98.00","5315820.48","Monitor"
"Fabrikam Microwave 1.6CuFt M1250 Silver","5337175.14","98.00","5312675.22","Monitor"
"Fabrikam Microwave 1.6CuFt M1250 Grey","5328732.60","98.00","5306964.09","Monitor"
"SV Car Video AM/FM E1000 Silver","5345825.94","97.00","5299661.64","Monitor"
"Proseware Air conditioner 6000BTU E180 Silver","5370233.20","97.00","5295496.52","Monitor"
"Litware Microwave 1.6CuFt M125 Blue","5307626.25","98.00","5288754.69","Monitor"
"A. Datum Advanced Digital Camera M300 Silver","5295454.56","98.00","5268583.76","Monitor"
"Contoso Air conditioner 6000BTU E0180 Blue","5341378.52","96.00","5253489.00","Monitor"
"Contoso Home Theater System 2.1 Channel E1220 White","5322287.22","97.00","5249743.32","Monitor"
"Contoso Home Theater System 5.1 Channel M1520 Brown","5275005.82","97.00","5246322.06","Monitor"
"Fabrikam Laptop10.1 M0101 Silver","5253862.02","99.00","5241499.53","Monitor"
"WWI LCD22 M2002 Black","5273479.17","97.00","5236768.06","Monitor"
"Adventure Works 20"" Analog CRT TV E45 Brown","5302949.85","96.00","5231978.73","Monitor"
"Fabrikam Microwave 1.6CuFt M1250 White","5246128.14","98.00","5225766.72","Monitor"
"Litware Microwave 1.6CuFt M125 Silver","5248197.39","98.00","5222124.84","Monitor"
"Fabrikam Microwave 1.6CuFt M1250 Black","5231146.77","99.00","5220386.67","Monitor"
"Fabrikam Microwave 1.6CuFt M1250 Blue","5228249.82","99.00","5216662.02","Monitor"
"A. Datum SLR Camera X140 Pink","5249174.32","98.00","5212196.60","Monitor"
"Fabrikam SLR Camera M149 Pink","5257141.20","97.00","5209317.0","Monitor"
"A. Datum Bridge Digital Camera M300 Black","5216219.55","98.00","5199029.55","Monitor"
"A. Datum Advanced Digital Camera M300 Grey","5210941.56","98.00","5184590.84","Monitor"
"A. Datum Bridge Digital Camera M300 Azure","5196365.10","99.00","5181753.60","Monitor"
"Contoso Rubberized Skin BlackBerry E100 White","5570858.80","79.00","5174717.16","Monitor"
"Fabrikam Business Videographer 1/2"" 3mm M500 Blue","5205273.92","95.00","5167320.48","Monitor"
"Contoso Air conditioner 6000BTU E0180 Grey","5256547.80","96.00","5166415.16","Monitor"
"Proseware Floor Lamp M0215 Blue","5192072.34","98.00","5161206.12","Monitor"
"A. Datum Full Frame Digital Camera X300 Silver Grey","5159116.89","99.00","5138377.26","Monitor"
"Litware Home Theater System 4.1 Channel M412 Brown","5181914.64","96.00","5133507.54","Monitor"
"Contoso Home Theater System 5.1 Channel M1520 White","5156841.20","97.00","5122857.18","Monitor"
"Proseware LCD22 M2000 Black","5144067.38","96.00","5114944.60","Monitor"
"Contoso Microwave 2.2CuFt M0126 Grey","5107240.08","99.00","5093831.34","Monitor"
"Contoso SLR Camera 35"" X358 Pink","5115004.20","97.00","5082447.33","Monitor"
"Litware Microwave 1.6CuFt M125 Grey","5091679.32","98.00","5065027.38","Monitor"
"Proseware Ink Jet All in one M300 White","5083432.04","98.00","5062292.20","Monitor"
"Adventure Works 52"" LCD HDTV X590 White","5058717.30","100.00","5058717.30","Monitor"
"Proseware Office Jet All-in-One Printer M500 White","5073067.92","98.00","5053503.36","Monitor"
"Proseware High-Performance Business-Class Laser Fax X200 White","5072518.44","99.00","5052304.62","Monitor"
